# File created on Tue Mar  3 06:24:26 2026
#
# time ADMmass ADMPx ADMPy ADMPz ADMSx ADMSy ADMSz
0              0.98947773      -3.8520881e-09  -5.2374633e-11  0               0               0               0.95654186     
0              0.98972269      -4.697198e-09   -9.2495171e-11  0               0               0               0.95654187     
0              0.98971904      -5.9233692e-09  5.4862993e-12   0               0               0               0.95654185     
0              0.98968537      -7.1640782e-09  -1.7102696e-10  0               0               0               0.95654184     
0              0.98965565      -9.6895598e-09  1.2395597e-10   0               0               0               0.95654184     
0              0.98962971      -1.1565242e-08  -5.0238455e-10  0               0               0               0.95654182     
0              0.98961636      -1.7425337e-08  9.907715e-10    0               0               0               0.95654182     
0              0.98956678      -1.9482548e-08  -2.0857939e-09  0               0               0               0.95654195     
0              0.98954214      -3.8338013e-08  5.7895614e-09   0               0               0               0.95654155     
0              0.98946982      -2.2286943e-08  -1.4390972e-08  0               0               0               0.95654199     
0              0.98940747      -1.5641388e-07  5.604911e-08    0               0               0               0.95653907     
0              0.98932591      4.8012083e-07   -1.1857233e-07  0               0               0               0.95654541     
0.41666667     0.98947773      -3.8556524e-09  -7.3912754e-11  0               0               0               0.95654186     
0.41666667     0.98972269      -4.6937188e-09  -1.0615262e-10  0               0               0               0.95654187     
0.41666667     0.98971904      -5.9230357e-09  4.9594086e-12   0               0               0               0.95654185     
0.41666667     0.98968537      -7.1611992e-09  -1.6109986e-10  0               0               0               0.95654184     
0.41666667     0.98965565      -9.6884906e-09  9.0079208e-11   0               0               0               0.95654184     
0.41666667     0.98962971      -1.1560406e-08  -5.0133715e-10  0               0               0               0.9565418      
0.41666667     0.98961636      -1.7427513e-08  9.6759153e-10   0               0               0               0.9565418      
0.41666667     0.98956678      -1.9474937e-08  -2.1101265e-09  0               0               0               0.95654193     
0.41666667     0.98954214      -3.8319574e-08  5.711727e-09    0               0               0               0.95654152     
0.41666667     0.98946982      -2.2089234e-08  -1.4427673e-08  0               0               0               0.95654199     
