# File created on Thu Feb 26 18:02:13 2026
#
# time         
0              0               4.4615385       0               0               -5.5384615      0              
0.41666667     -0.0013351077   4.461533        1.3537315e-09   0.0030294517    -5.5384044      7.3646968e-08  
0.83333333     -0.011511279    4.4614682       4.4628228e-09   0.020615845     -5.5380474      3.7151187e-08  
1.25           -0.029842888    4.4612194       1.3125629e-08   0.048633791     -5.5374224      1.005829e-07   
1.6666667      -0.053218399    4.460752        2.7661856e-08   0.082373579     -5.5363182      9.0347334e-07  
2.0833333      -0.079970246    4.4600947       1.2296287e-07   0.1194541       -5.5345168      2.9343442e-06  
2.5            -0.10914351     4.459265        8.8195387e-08   0.15853375      -5.5315293      2.9826203e-06  
2.9166667      -0.13995941     4.4580718       3.6679046e-06   0.19870155      -5.527504       5.4749397e-06  
3.3333333      -0.17177575     4.455619        1.049816e-05    0.24082713      -5.5236872      2.4805211e-06  
3.75           -0.2046124      4.4544681       2.7331916e-06   0.28395371      -5.5200694      1.6696348e-06  
4.1666667      -0.2383286      4.4527574       2.248593e-06    0.32789949      -5.5163904      1.0807373e-06  
4.5833333      -0.27289147     4.4501887       1.6699289e-06   0.37237994      -5.5123965      4.6886995e-07  
5              -0.30812579     4.4469585       8.8409894e-07   0.41715227      -5.5079564      1.3532519e-07  
